units,amount,probability,type,stage,lead_source,lead_firstname,lead_lastname,lead,assignedTo,description,
33381,22540854.06,48.02,NEW,NEEDS ANALYSIS,DEAD,Hanan,Melby,Hanan Melby,oderham0@lin.com,Enhanced radical success,
23119,15611335.94,97.69,NEW,NEGOTIATION OR REVIEW,CONVERTED,Selma,Lofts,Selma Lofts,kvickress1@lin.com,Balanced zero tolerance firmware,
34956,23604388.56,83.84,NEW,CLOSED LOST,NEW,Ephrem,Eloi,Ephrem Eloi,jhrishchenko2@lin.com,Robust zero defect policy,
29218,19729746.68,69.35,EXISTING,PROPOSAL OR PRICE QUOTE,RECYCLED,Diego,Kemsley,Diego Kemsley,tbeacock3@lin.com,Compatible solution-oriented challenge,
33507,22625936.82,73.49,EXISTING,IDENTIFYING DECISION MAKERS,RECYCLED,Philis,MacKereth,Philis MacKereth,sstockell4@lin.com,Public-key client-server Graphic Interface,
21399,14449888.74,38.6,EXISTING,NEEDS ANALYSIS,NEW,Star,O'Dogherty,Star O'Dogherty,jhackly5@lin.com,Focused disintermediate superstructure,
14111,9528593,90.39,NEW,IDENTIFYING DECISION MAKERS,RECYCLED,Consolata,Brozsset,Consolata Brozsset,lnorgan6@lin.com,Robust tangible firmware,
18795,12691511.7,55.57,EXISTING,CLOSED LOST,RECYCLED,Celisse,Hopkins,Celisse Hopkins,lcholwell7@lin.com,Enhanced next generation instruction set,
19716,13313426.16,52.31,EXISTING,PROPOSAL OR PRICE QUOTE,DEAD,Halley,Dudding,Halley Dudding,broyan8@lin.com,Extended neutral complexity,
20102,13574076.52,80.47,EXISTING,CLOSED WON,ASSIGNED,Marabel,Drewett,Marabel Drewett,lknaggs9@lin.com,Profound multi-tasking function,
26764,18072658.64,77.11,NEW,PROSPECTING,RECYCLED,Bail,Sommerly,Bail Sommerly,abownasa@lin.com,Right-sized executive conglomeration,
43345,29269144.7,56.13,NEW,PERCEPTION ANALYSIS,NEW,Essa,Pilmoor,Essa Pilmoor,cboseleyb@lin.com,Pre-emptive object-oriented project,
10402,7024054,55.77,EXISTING,PROSPECTING,DEAD,Rick,Dradey,Rick Dradey,lrainforthc@lin.com,Face to face discrete Graphic Interface,
13442,9076844,52.93,EXISTING,PROSPECTING,NEW,Vinny,Georger,Vinny Georger,mommundsend@lin.com,Synchronised 24 hour alliance,
33400,22553684,81.34,NEW,CLOSED LOST,CONVERTED,Justinn,Bessett,Justinn Bessett,lganforthe@lin.com,Vision-oriented homogeneous open architecture,
32945,22246440.7,74.31,EXISTING,CLOSED WON,NEW,Minda,Thody,Minda Thody,kmedleyf@lin.com,Virtual zero defect secured line,
18139,12248541.14,94.13,EXISTING,PROPOSAL OR PRICE QUOTE,NEW,Gratiana,Dolligon,Gratiana Dolligon,equickendeng@lin.com,Sharable cohesive portal,
29215,19727720.9,52.81,EXISTING,VALUE PROPOSITION,CONVERTED,Cahra,Maltman,Cahra Maltman,hhubbleh@lin.com,Organized bi-directional toolset,
27961,18880944.86,53.9,NEW,NEEDS ANALYSIS,RECYCLED,Oralla,Shew,Oralla Shew,iairdriei@lin.com,Centralized real-time implementation,
