units,amount,probability,type,stage,source,account,assignedTo
19624,1.325130224E7,89.1,NEW_BUSINESS,NEEDS_ANALYSIS,WORD_OF_MOUTH,HEWLETT-PACKARD,Arly Bownas
14503,9793295.0,38.17,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,PARTNER,THE COCA-COLA COMPANY,Jephthah Hrishchenko
20899,1.411225874E7,73.3,NEW_BUSINESS,PROSPECTING,EXISTING_CUSTOMER,CAPITAL ONE,Lenee Norgan
42375,2.86141425E7,74.81,NEW_BUSINESS,CLOSED_LOST,CONFERENCE,GOLDMAN SACHS,Xever Canby
18648,1.259224848E7,44.4,NEW_BUSINESS,PROSPECTING,SELF_GENERATED,MICROSOFT,Leona Knaggs
35924,2.425804024E7,58.37,EXISTING_BUSINESS,CLOSED_WON,EXISTING_CUSTOMER,GOOGLE,Lenee Norgan
28933,1.953729758E7,66.62,EXISTING_BUSINESS,NEEDS_ANALYSIS,WORD_OF_MOUTH,KROGER,Lenee Norgan
36565,2.46908819E7,46.75,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,EMAIL,JOHNSON CONTROLS,Leona Knaggs
48569,3.279670294E7,73.03,NEW_BUSINESS,CLOSED_LOST,CONFERENCE,DEPARTMENT OF VETERANS AFFAIRS,Theo Beacock
19786,1.336069436E7,32.7,EXISTING_BUSINESS,VALUE_PROPOSITION,PARTNER,ELI LILLY AND COMPANY,Somerset Dowty
18749,1.266044974E7,32.64,NEW_BUSINESS,PERCEPTION_ANALYSIS,WORD_OF_MOUTH,FIDELITY INVESTMENTS,Xever Canby
44954,3.035563804E7,67.67,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,COLD_CALL,DEPARTMENT OF VETERANS AFFAIRS,Leona Knaggs
22019,1.486854994E7,43.69,EXISTING_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,COLD_CALL,MCDONALD'S CORPORATION,Luce Cholwell
25315,1.70942069E7,99.41,NEW_BUSINESS,VALUE_PROPOSITION,EMPLOYEE,MERRILL LYNCH,Brena Bass
21399,1.444988874E7,38.6,EXISTING_BUSINESS,NEEDS_ANALYSIS,OTHER,AT&T,Jacquenetta Hackly
45183,3.051027258E7,58.63,NEW_BUSINESS,NEEDS_ANALYSIS,DIRECT_MAIL,GOOGLE,Lenee Norgan
34505,2.32998463E7,54.05,NEW_BUSINESS,PERCEPTION_ANALYSIS,TRADE_SHOW,GE,Jacquenetta Hackly
40579,2.740137554E7,98.54,EXISTING_BUSINESS,PROSPECTING,WEB_SITE,UNITED STATES DEPARTMENT OF DEFENSE,Constantine Boseley
17252,1.164958552E7,95.57,EXISTING_BUSINESS,VALUE_PROPOSITION,WEB_SITE,UNITED STATES DEPARTMENT OF DEFENSE,Arly Bownas
10360,6995693.0,31.38,NEW_BUSINESS,CLOSED_LOST,COLD_CALL,JPMORGAN CHASE & CO.,Kellsie Vickress
22159,1.496308634E7,68.74,NEW_BUSINESS,NEEDS_ANALYSIS,CONFERENCE,DELOITTE,Theo Beacock
10914,7369787.64,46.51,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,PARTNER,ALLSTATE,Leona Knaggs
29495,1.99167937E7,76.23,NEW_BUSINESS,PERCEPTION_ANALYSIS,CAMPAIGN,JOHNSON & JOHNSON,Kassandra Medley
42534,2.872150884E7,95.14,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,PUBLIC_RELATIONS,3M HEALTH CARE,Marwin Ommundsen
43411,2.931371186E7,46.82,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,SELF_GENERATED,KPMG,Link Ganforth
43116,2.911451016E7,78.9,EXISTING_BUSINESS,PERCEPTION_ANALYSIS,TRADE_SHOW,THE WALT DISNEY COMPANY,Luce Cholwell
23119,1.561133594E7,97.69,NEW_BUSINESS,NEGOTIATION_OR_REVIEW,SELF_GENERATED,HEWLETT-PACKARD,Kellsie Vickress
34023,2.297437098E7,62.84,EXISTING_BUSINESS,CLOSED_WON,DIRECT_MAIL,WELLS FARGO,Lenee Norgan
22167,1.496848842E7,30.45,NEW_BUSINESS,PROSPECTING,EMAIL,FARMERS INSURANCE,Xever Canby
35764,2.414999864E7,53.25,NEW_BUSINESS,CLOSED_LOST,DIRECT_MAIL,STATE STREET,Jephthah Hrishchenko
45847,3.095864522E7,38.18,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,PARTNER,SCHNEIDER ELECTRIC,Kassandra Medley
43840,2.96033984E7,31.37,NEW_BUSINESS,PERCEPTION_ANALYSIS,PUBLIC_RELATIONS,US ARMY,Orelle Derham
28077,1.895927502E7,94.15,NEW_BUSINESS,CLOSED_LOST,EXISTING_CUSTOMER,CATERPILLAR INC.,Marwin Ommundsen
17416,1.176032816E7,45.92,NEW_BUSINESS,CLOSED_WON,EMPLOYEE,NYC DEPARTMENT OF EDUCATION,Brandea Royan
14356,9694032.0,82.18,NEW_BUSINESS,PROSPECTING,PARTNER,SPRINT,Shaina Clotworthy
20688,1.396977888E7,41.6,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,EMAIL,LOCKHEED MARTIN,Somerset Dowty
16397,1.107223822E7,53.56,NEW_BUSINESS,IDENTIFYING_DECISION_MAKERS,PUBLIC_RELATIONS,BAKER HUGHES,Brena Bass
35039,2.366043514E7,37.14,NEW_BUSINESS,NEEDS_ANALYSIS,PARTNER,AMAZON,Kellsie Vickress
49748,3.359283448E7,81.16,EXISTING_BUSINESS,VALUE_PROPOSITION,CONFERENCE,KPMG,Hanny Hubble
24693,1.667419518E7,98.25,EXISTING_BUSINESS,CLOSED_LOST,CONFERENCE,SCHLUMBERGER,Luce Cholwell
28155,1.90119453E7,83.43,EXISTING_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,WORD_OF_MOUTH,GE,Jacquenetta Hackly
12869,8689920.0,54.23,EXISTING_BUSINESS,PERCEPTION_ANALYSIS,EXISTING_CUSTOMER,H&R BLOCK,Hanny Hubble
46588,3.145901288E7,56.17,NEW_BUSINESS,VALUE_PROPOSITION,CONFERENCE,METLIFE,Kassandra Medley
45782,3.091475332E7,53.9,EXISTING_BUSINESS,PROSPECTING,DIRECT_MAIL,MARRIOTT INTERNATIONAL,Orelle Derham
43002,2.903753052E7,73.86,NEW_BUSINESS,NEEDS_ANALYSIS,WEB_SITE,UNITEDHEALTH GROUP,Marwin Ommundsen
37900,2.5592354E7,37.24,NEW_BUSINESS,NEGOTIATION_OR_REVIEW,PUBLIC_RELATIONS,MEDTRONIC,Jephthah Hrishchenko
19083,1.288598658E7,53.47,NEW_BUSINESS,CLOSED_WON,OTHER,GOLDMAN SACHS,Link Ganforth
21093,1.424325918E7,35.32,NEW_BUSINESS,CLOSED_WON,CAMPAIGN,RAYTHEON,Marwin Ommundsen
33883,2.287983458E7,32.72,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,PUBLIC_RELATIONS,DELOITTE,Constantine Boseley
34385,2.32188151E7,31.73,NEW_BUSINESS,VALUE_PROPOSITION,EXISTING_CUSTOMER,SPRINT,Leona Knaggs
18851,1.272932626E7,77.0,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,EXISTING_CUSTOMER,HEWLETT-PACKARD,Marwin Ommundsen
36533,2.466927358E7,71.02,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,EMPLOYEE,BEST BUY,Orelle Derham
33925,2.29081955E7,94.87,NEW_BUSINESS,PROSPECTING,WORD_OF_MOUTH,ADP,Link Ganforth
41435,2.79793981E7,98.33,NEW_BUSINESS,PERCEPTION_ANALYSIS,EMPLOYEE,GENERAL MOTORS,Lloyd Rainforth
16170,1.09189542E7,33.83,NEW_BUSINESS,NEEDS_ANALYSIS,COLD_CALL,NOVO NORDISK,Isabelle Epsly
16515,1.11519189E7,73.49,NEW_BUSINESS,IDENTIFYING_DECISION_MAKERS,EXISTING_CUSTOMER,H&R BLOCK,Xever Canby
